date,WEBS-0001,WEBG-0001,INCZ-0001,IPEK-0001,ACTI-0024,OTHERS
2019-05-09,4,7,0,0,0,88
2019-05-10,4,7,0,0,0,95
2019-05-11,4,7,0,0,0,96
2019-05-12,4,7,0,0,0,95
2019-05-13,4,7,0,0,0,106
2019-05-14,5,9,0,0,0,109
2019-05-15,5,12,0,0,0,110
2019-05-16,5,20,0,0,0,115
2019-05-17,6,20,0,0,2,121
2019-05-18,6,20,0,0,2,135
2019-05-19,6,26,0,0,2,143
2019-05-20,6,27,0,0,2,143
2019-05-21,8,27,0,0,2,145
2019-05-22,8,32,0,0,2,149
2019-05-23,8,33,0,0,2,204
2019-05-24,8,33,0,0,2,252
2019-05-25,8,33,0,0,2,606
2019-05-26,8,34,0,0,2,1445
2019-05-27,8,34,0,0,2,1449
2019-05-28,8,34,0,0,2,2559
2019-05-29,8,34,0,0,2,2565
2019-05-30,8,34,0,0,2,2565
2019-05-31,8,35,0,0,2,2574
2019-06-01,8,35,0,0,2,2575
2019-06-02,8,35,0,0,2,2574
2019-06-03,8,35,0,0,2,2574
2019-06-04,8,35,0,0,2,2609
2019-06-05,8,35,0,0,2,2674
2019-06-06,9,35,0,0,2,2694
2019-06-07,18,35,0,0,2,2738
2019-06-08,22,36,0,0,2,2751
2019-06-09,22,36,0,0,2,2766
2019-06-10,24,36,0,0,2,2791
2019-06-11,27,35,0,0,2,2810
2019-06-12,36,35,0,0,2,2859
2019-06-13,67,35,0,0,2,2892
2019-06-14,80,34,0,0,2,2924
2019-06-15,83,34,0,0,3,2955
2019-06-16,85,34,0,0,3,2960
2019-06-17,86,34,0,0,3,2967
2019-06-18,87,34,0,0,3,3034
2019-06-19,108,34,0,0,3,3069
2019-06-20,108,34,0,0,3,3113
2019-06-21,115,34,0,0,3,3147
2019-06-22,115,35,0,0,3,3177
2019-06-23,119,35,0,0,3,3196
2019-06-24,120,36,0,0,3,3227
2019-06-25,119,37,0,0,3,3275
2019-06-26,110,37,0,0,3,3342
2019-06-27,113,37,0,0,3,3376
2019-06-28,114,37,0,0,3,3402
2019-06-29,115,37,0,0,3,3427
2019-06-30,124,37,0,0,3,3433
2019-07-01,124,37,0,0,3,3447
2019-07-02,124,38,0,0,3,3504
2019-07-03,134,38,0,0,3,3550
2019-07-04,152,38,0,0,4,3567
2019-07-05,152,38,0,0,4,3597
2019-07-06,153,38,0,0,4,3621
2019-07-07,153,38,0,0,4,3616
2019-07-08,152,38,0,0,4,3632
2019-07-09,154,38,0,0,5,3688
2019-07-10,156,38,0,0,5,3746
2019-07-11,156,40,0,0,3,3801
2019-07-12,159,40,0,0,3,3828
2019-07-13,158,40,0,0,3,3871
2019-07-14,157,40,0,0,3,3883
2019-07-15,158,40,0,0,3,3911
2019-07-16,160,40,0,0,3,3958
2019-07-17,161,40,0,0,3,3999
2019-07-18,161,40,0,0,3,4051
2019-07-19,165,40,0,0,3,4540
2019-07-20,177,40,0,0,3,4575
2019-07-21,179,40,0,0,3,4587
2019-07-22,180,40,0,0,3,4607
2019-07-23,178,40,0,0,4,4665
2019-07-24,179,41,0,0,4,4688
2019-07-25,183,43,0,0,4,4709
2019-07-26,182,43,0,0,3,4742
2019-07-27,182,43,0,0,3,4791
2019-07-28,183,43,0,0,3,4806
2019-07-29,183,43,0,0,3,4821
2019-07-30,183,43,0,0,3,4863
2019-07-31,183,43,0,0,3,4912
2019-08-01,183,43,0,0,3,4939
2019-08-02,185,43,0,0,4,4990
2019-08-04,187,43,0,0,4,5018
2019-08-05,187,43,0,0,4,5034
2019-08-06,188,44,0,0,4,5075
2019-08-07,187,44,0,0,4,5125
2019-08-08,189,44,0,0,4,5161
2019-08-09,190,45,0,0,4,5206
2019-08-10,191,45,0,0,4,5226
2019-08-11,193,45,0,0,4,5235
2019-08-12,195,45,0,0,4,5268
2019-08-13,216,45,0,0,4,5319
2019-08-14,217,45,0,0,4,5348
2019-08-15,218,45,0,0,4,5377
2019-08-16,219,45,0,0,4,5398
2019-08-17,219,45,0,0,4,5424
2019-08-18,220,45,0,0,4,5436
2019-08-19,222,45,0,0,4,5461
2019-08-20,223,46,0,0,6,5512
2019-08-21,223,46,0,0,6,5553
2019-08-22,224,46,0,0,6,5611
2019-08-23,225,46,0,0,6,5655
2019-08-24,230,46,0,0,5,5688
2019-08-25,230,46,0,0,5,5703
2019-08-26,230,46,0,0,5,5743
2019-08-27,233,47,0,0,5,5808
2019-08-28,245,47,0,0,5,5874
2019-08-29,248,47,0,0,5,5900
2019-08-30,246,47,0,0,6,5936
2019-08-31,247,48,0,0,6,5987
2019-09-01,247,49,0,0,6,6006
2019-09-02,248,49,0,0,6,6038
2019-09-03,248,50,0,1,6,6099
2019-09-04,254,51,0,1,6,6159
2019-09-05,259,53,0,1,6,6218
2019-09-06,259,54,0,1,6,6271
2019-09-07,260,54,0,1,6,6294
2019-09-08,260,54,0,1,6,6307
2019-09-09,260,54,0,1,6,6340
2019-09-10,260,54,0,1,6,6376
2019-09-11,260,54,0,1,6,6426
2019-09-12,259,54,0,1,6,6469
2019-09-13,259,54,0,1,6,6518
2019-09-14,260,54,0,1,7,6560
2019-09-15,259,54,0,1,7,6576
2019-09-16,259,55,0,1,7,6613
2019-09-17,259,55,0,1,7,6666
2019-09-18,259,55,0,1,7,6710
2019-09-19,262,56,0,1,7,6761
2019-09-20,263,56,0,1,7,6789
2019-09-21,264,56,0,1,7,6823
2019-09-22,289,56,0,1,7,6837
2019-09-23,290,57,0,1,7,6858
2019-09-24,291,57,0,1,7,6919
2019-09-25,293,57,0,1,7,6962
2019-09-26,294,57,0,2,7,7002
2019-09-27,294,57,0,3,7,7040
2019-09-28,293,57,0,3,7,7075
2019-09-29,294,57,0,3,7,7089
2019-09-30,294,57,0,3,7,7107
2019-10-01,295,58,0,3,7,7150
2019-10-02,294,64,0,3,7,7217
2019-10-03,297,66,0,3,7,7267
2019-10-04,305,66,0,3,7,7316
2019-10-05,335,66,0,3,7,7393
2019-10-06,341,67,0,3,7,7419
2019-10-07,345,67,0,3,7,7470
2019-10-08,352,129,0,3,7,7534
2019-10-09,354,228,0,3,7,7582
2019-10-10,359,294,0,3,7,7635
2019-10-11,366,357,0,3,7,7683
2019-10-12,366,414,0,3,9,7771
2019-10-13,366,426,0,3,9,7786
2019-10-14,368,464,0,3,9,7834
2019-10-15,372,545,0,3,9,7891
2019-10-16,375,625,0,3,8,7948
2019-10-17,375,700,0,3,6,8002
2019-10-18,376,759,0,3,6,8043
2019-10-19,377,807,0,3,6,8097
2019-10-20,378,819,0,3,6,8118
2019-10-21,378,834,0,3,6,8153
2019-10-22,589,905,0,3,6,8202
2019-10-23,590,984,0,3,6,8244
2019-10-24,590,1037,0,3,6,8274
2019-10-25,589,1115,0,3,6,8315
2019-10-26,588,1157,0,3,6,8352
2019-10-27,587,1171,0,3,6,8367
2019-10-28,587,1182,0,3,6,8385
2019-10-29,2546,1261,0,3,6,8382
2019-10-30,2968,1334,0,3,6,8411
2019-10-31,3318,1398,0,3,6,8440
2019-11-01,3595,1466,0,3,6,8469
2019-11-02,3713,1475,0,3,6,8488
2019-11-03,3811,1487,0,3,6,8485
2019-11-04,3977,1495,0,3,6,8507
2019-11-05,8587,1559,0,3,6,8455
2019-11-06,12091,1612,0,3,7,8420
2019-11-07,16976,1666,0,3,6,8346
2019-11-08,19238,1718,0,3,7,8317
2019-11-09,19468,1771,0,3,7,8336
2019-11-10,19565,1783,0,3,7,8341
2019-11-11,19722,1806,0,3,7,8344
2019-11-12,20158,1881,0,3,7,8364
2019-11-13,20860,1941,0,3,7,8379
2019-11-14,21142,1972,0,3,7,8780
2019-11-15,21386,2040,0,3,7,8812
2019-11-16,21611,2096,0,3,7,8823
2019-11-17,21663,2110,0,3,7,8825
2019-11-18,21821,2119,0,3,7,8845
2019-11-19,22490,2173,0,4,7,8892
2019-11-20,25048,2219,0,4,7,8868
2019-11-21,31359,2257,0,4,7,8765
2019-11-22,35513,2278,0,3,7,8700
2019-11-23,37617,2339,0,4,7,8670
2019-11-24,37632,2352,0,4,7,8678
2019-11-25,37784,2352,0,4,7,8669
2019-11-26,41831,2334,0,4,7,8598
2019-11-27,45537,2370,0,4,6,8554
2019-11-28,48478,2416,0,6,8,8512
2019-11-29,52893,2449,0,3,8,8441
2019-11-30,55287,2477,0,3,8,8391
2019-12-01,55283,2497,0,3,7,8398
2019-12-02,55345,2507,0,3,7,8412
2019-12-03,59351,2503,0,3,6,8374
2019-12-04,63596,2545,0,2,6,8326
2019-12-05,66568,2575,0,2,6,8251
2019-12-07,73825,2619,0,2,6,8244
2019-12-08,73828,2623,0,2,6,8293
2019-12-09,73841,2630,0,2,6,8352
2019-12-10,74020,2642,0,2,6,8374
2019-12-11,74137,2693,0,2,6,8396
2019-12-12,74539,2743,0,1,6,8421
2019-12-13,74979,2785,0,1,6,8432
2019-12-14,75362,2826,0,2,6,8459
2019-12-15,75336,2851,0,2,6,8459
2019-12-16,75348,2861,0,2,6,8470
2019-12-17,75626,2885,0,2,6,8495
2019-12-18,75751,2955,0,2,6,8512
2019-12-19,76091,3009,0,2,5,8520
2019-12-20,76371,3048,0,2,5,8532
2019-12-21,76401,3095,0,2,5,8558
2019-12-22,76376,3117,0,2,5,8580
2019-12-23,76392,3121,0,2,5,8584
2019-12-24,76558,3129,0,3,5,8592
2019-12-25,76965,3166,0,3,5,8591
2019-12-26,77359,3166,0,3,5,8586
2019-12-27,77836,3171,0,3,5,8586
2019-12-28,78157,3181,0,3,5,8588
2019-12-29,78311,3228,0,3,5,8600
2019-12-30,78368,3238,0,3,5,8602
2019-12-31,78635,3264,0,3,5,8609
2020-01-01,78988,3317,0,3,5,8615
2020-01-02,79575,3347,0,3,5,8610
2020-01-03,80214,3366,0,4,5,8618
2020-01-04,80868,3404,0,4,6,8615
2020-01-05,81091,3806,0,64,41,11828
2020-01-06,81451,3819,0,63,41,11833
2020-01-07,81542,3835,0,63,42,11856
2020-01-08,81576,3868,0,61,41,11873
2020-01-09,81596,3977,0,63,41,11895
2020-01-10,81611,4131,0,82,41,11913
2020-01-11,81611,4232,0,95,41,11935
2020-01-12,81583,4302,0,98,41,11942
2020-01-13,81575,4305,0,123,41,11963
2020-01-14,81647,4343,0,131,40,11985
2020-01-15,81628,4454,0,134,40,12008
2020-01-16,81568,4532,0,133,40,12031
2020-01-17,81523,4615,0,133,40,12054
2020-01-18,81486,4687,0,134,40,12072
2020-01-19,81417,4745,0,133,40,12087
2020-01-20,81396,4751,0,135,40,12103
2020-01-21,81363,4783,0,136,40,12138
2020-01-22,81310,4897,0,136,40,12199
2020-01-23,81265,5000,0,135,40,12245
2020-01-24,81221,5075,0,135,40,12278
2020-01-25,81189,5164,0,135,40,12301
2020-01-26,81137,5213,0,135,39,12303
2020-01-27,81075,5222,0,136,39,12315
2020-01-28,81048,5266,0,136,39,12373
2020-01-29,81025,5340,0,135,39,12380
2020-01-30,80978,5425,0,136,39,12392
2020-01-31,80910,5481,0,136,39,12481
2020-02-01,80868,5565,0,137,39,12507
2020-02-02,80817,5618,0,137,39,12531
2020-02-03,80780,5631,0,137,39,12543
2020-02-04,80755,5654,0,136,39,12565
2020-02-05,80681,5737,0,136,40,12590
2020-02-06,80599,5829,0,137,40,12604
2020-02-07,80634,5901,0,138,40,12667
2020-02-08,80645,5963,0,138,40,12689
2020-02-09,80645,5997,0,138,40,12703
2020-02-10,80700,6007,0,138,40,12722
2020-02-11,80830,6033,0,140,40,12759
2020-02-12,80964,6128,0,140,40,12792
2020-02-13,81523,6214,0,139,40,12789
2020-02-14,81694,6284,0,139,40,12799
2020-02-15,81739,6332,0,139,40,12819
2020-02-17,81736,6404,0,140,40,12843
2020-02-18,81871,6430,0,139,40,12870
2020-02-19,81897,6538,0,140,40,12887
2020-02-20,81945,6613,0,139,40,12902
2020-02-21,82177,6678,0,140,40,12934
2020-02-22,82176,6729,0,142,40,12959
2020-02-23,82147,6785,0,142,40,12966
2020-02-24,82442,6790,0,142,40,12967
2020-02-25,82471,6830,0,142,40,12981
2020-02-26,82495,6929,0,141,42,13008
2020-02-27,82521,7006,0,141,42,13025
2020-02-28,82560,7075,0,141,44,13038
2020-02-29,82607,7144,0,141,44,13064
2020-03-01,82626,7219,0,141,44,13077
2020-03-02,82602,7226,0,141,44,13083
2020-03-03,82664,7267,0,141,45,13093
2020-03-04,82713,7340,0,141,45,13115
2020-03-05,82742,7413,0,140,45,13137
2020-03-06,82781,7489,0,140,45,13156
2020-03-07,82791,7566,0,140,46,13184
2020-03-08,82760,7620,0,140,46,13185
2020-03-09,82732,7634,0,140,46,13205
2020-03-10,82809,7655,0,140,46,13227
2020-03-11,82845,7736,0,141,46,13258
2020-03-12,82878,7819,0,141,46,13279
2020-03-13,82899,7865,0,141,46,13298
2020-03-14,82901,7924,0,141,46,13319
2020-03-15,82883,7962,0,141,46,13327
